type,domaine,theme,sujet
"Sujet de préparation","INFO","Développement","Stratégie de maintenabilité logicielle et les couts associés ?"
"Sujet de préparation","INFO","Développement","En quoi DevOps peut améliorer la qualité de votre S.I. et la productivité de vos équipes IT ?"
"Sujet de préparation","INFO","Développement","Quels sont les enjeux et le positionnement de la RA/RV pour l’entreprise 4.0"
"Sujet de préparation","INFO","Mobilité","Comment gérer la mobilité au sein d’un SI ?"
"Sujet de préparation","INFO","Mobilité","Les outils numériques au service de la mobilité"
"Sujet de préparation","INFO","Mobilité","Consumérisation de l'IT et BYOD : opportunités, risques et enjeux pour le SI"
"Sujet de préparation","INFO","Management et stratégie","DSI: Gestion de la pénurie de techno-talents"
"Sujet de préparation","INFO","Management et stratégie","SI et consommation énergétique, un enjeu toujours présent…"
"Sujet de préparation","INFO","Management et stratégie","SI et cyberattaques: Faut-il revoir les PCA/PRA ?"
"Sujet de préparation","INFO","Management et stratégie","DSI et RH: Comment solutionner le manque de compétences ?"
"Sujet de préparation","INFO","Management et stratégie","RSSI : Quels impacts sur le métier avec l'avènement du Cloud ?"
"Sujet de préparation","INFO","Management et stratégie","IT : Sur quels standards s'appuyer en terme de gouvernance ?"
"Sujet de préparation","INFO","Management et stratégie","La gestion de l'énergie est-elle toujours d'actualité pour la DSI ?"
"Sujet de préparation","INFO","Blockchain","Pourquoi la Blockchain est considérée comme la nouvelle révolution numérique ?"
"Sujet de préparation","INFO","Blockchain","La blockchain, un outil informatique permettant la gestion de la traçabilité. En quoi cet outil peut répondre aux objectifs et enjeux des services de la consommation et de la production ?"
"Sujet de préparation","INFO","Blockchain","Les problématiques éthiques et juridiques de la blockchain sont-elles un frein à son développement et déploiement au sein des entreprises françaises ?"
"Sujet de préparation","INFO","Blockchain","Le droit face aux technologies tel que la blockchain ?"
"Sujet de préparation","INFO","Blockchain","Blockchain et empreinte énergétique"
"Sujet de préparation","INFO","Intelligence artificielle","IA : La solution à l'explosion des cyberattaques"
"Sujet de préparation","INFO","Intelligence artificielle","IA : Enjeux juridiques, éthiques et de gouvernance ?"
"Sujet de préparation","INFO","Intelligence artificielle","L'IA ou l'injustice algorithmique"
"Sujet de préparation","INFO","Intelligence artificielle","L'intelligence artificielle peut-elle assurer la sécurité d'une infrastructure système et réseau de façon autonome ?"
"Sujet de préparation","INFO","Intelligence artificielle","IA, La révolution marketing"
"Sujet de préparation","INFO","Intelligence artificielle","Quelle éthique pour l’intelligence artificielle ?"
"Sujet de préparation","INFO","Optimisation du SI","L'optimisation du SI passe forcément par le Cloud"
"Sujet de préparation","INFO","Optimisation du SI","Optimiser un système d’information grâce à ITIL"
"Sujet de préparation","INFO","Optimisation du SI","L'automatisation, un passage obligé dans l'optimisation du SI"
"Sujet de préparation","INFO","Optimisation du SI","Quels sont les indicateurs les plus pertinents pour gérer au mieux un projet informatique dans une entreprise 4.0 ?"
"Sujet de préparation","INFO","Optimisation du SI","Comment mettre en place une veille efficace afin d’orienter sa stratégie d’entreprise ?"
"Sujet de préparation","INFO","Optimisation du SI","Comment l'économie de l'énergie peut être une opportunité pour l'optimisation des SI ?"
"Sujet de préparation","INFO","Optimisation du SI","Quelles démarches adopter pour assurer l’amélioration continue des services ?"
